id,first_name,last_name,mobile_no,experience,city,price_per_hour,ratings
1,Aarav,Sharma,9.163E+11,7,Ahmedabad,600,3.5
2,Abhay,Gupta,9.18522E+11,5,Ahmedabad,400,4
3,Abhinav,Verma,9.16745E+11,8,Mehsana,200,3
4,Aditya,Sharma,9.18967E+11,10,Ahmedabad,200,4
5,Advait,Kumar,9.16189E+11,14,Gandhinagar,300,3
6,Akash,Verma,9.18311E+11,9,Ahmedabad,700,3
7,Aman,Chauhan,9.16533E+11,13,Mehsana,400,3.5
8,Amit,Singh,9.18756E+11,6,Ahmedabad,400,4.5
9,Aniket,Patel,9.16978E+11,15,Gandhinagar,400,4.5
10,Ankur,Kumar,9.18199E+11,9,Ahmedabad,400,5
11,Ansh,Chauhan,9.16411E+11,8,Mehsana,200,3.5
12,Arjun,Gupta,9.18633E+11,8,Gandhinagar,600,3
13,Arnav,Patel,9.16856E+11,8,Gandhinagar,500,5
14,Aryan,Singh,9.18078E+11,11,Mehsana,300,4.5
15,Ashish,Yadav,9.19189E+11,8,Ahmedabad,300,3
16,Atharva,Kumar,9.17311E+11,14,Gandhinagar,300,4.5
17,Avinash,Verma,9.19533E+11,10,Gandhinagar,400,3.5
18,Ayush,Chauhan,9.17756E+11,12,Ahmedabad,200,3
19,Bhavesh,Patel,9.19978E+11,13,Mehsana,300,3
20,Bhuvan,Kumar,9.17199E+11,8,Mehsana,500,5
21,Chetan,Kumar,9.182E+11,11,Gandhinagar,700,3.5
22,Chirag,Patel,9.16422E+11,14,Ahmedabad,700,4
23,Daksh,Gupta,9.18645E+11,5,Mehsana,700,3
24,Darshan,Sharma,9.16867E+11,5,Ahmedabad,200,4.5
25,Deepak,Singh,9.18089E+11,12,Ahmedabad,300,4.5
26,Dev,Yadav,9.162E+11,9,Mehsana,600,4
27,Devansh,Verma,9.18422E+11,14,Mehsana,500,5
28,Dhruv,Chauhan,9.16645E+11,11,Gandhinagar,400,4
29,Dhruv,Gupta,9.18867E+11,13,Mehsana,500,3.5
30,Divyansh,Chauhan,9.16089E+11,9,Gandhinagar,300,5
31,Ekansh,Sharma,9.182E+11,14,Ahmedabad,700,4
32,Gaurav,Verma,9.16422E+11,7,Gandhinagar,600,5
33,Gautam,Patel,9.18645E+11,6,Mehsana,600,5
34,Girish,Chauhan,9.16867E+11,10,Gandhinagar,200,5
35,Hardik,Kumar,9.19199E+11,13,Mehsana,500,3.5
36,Harsh,Kumar,9.17311E+11,11,Mehsana,400,3.5
37,Harshit,Verma,9.19533E+11,12,Ahmedabad,300,4
38,Hemang,Gupta,9.17756E+11,8,Ahmedabad,600,5
39,Hemant,Patel,9.19978E+11,13,Ahmedabad,200,4
40,Himanshu,Singh,9.17199E+11,11,Gandhinagar,600,3.5
41,Hitansh,Sharma,9.182E+11,6,Mehsana,300,3.5
42,Ishaan,Yadav,9.16422E+11,9,Ahmedabad,200,3
43,Ishan,Verma,9.18645E+11,7,Gandhinagar,500,4.5
44,Jagdish,Sharma,9.16867E+11,5,Ahmedabad,600,3
45,Jatin,Chauhan,9.17978E+11,14,Mehsana,500,4.5
46,Jay,Sharma,9.162E+11,10,Mehsana,700,4.5
47,Karan,Verma,9.18422E+11,8,Ahmedabad,500,5
48,Kartik,Chauhan,9.17756E+11,11,Ahmedabad,300,4
49,Kavin,Patel,9.19978E+11,7,Ahmedabad,600,4
50,Keshav,Patel,9.17199E+11,10,Gandhinagar,500,3.5
51,Krish,Kumar,9.19311E+11,9,Ahmedabad,700,4
52,Kunal,Gupta,9.18645E+11,14,Ahmedabad,700,4.5
53,Kunal,Yadav,9.16867E+11,14,Gandhinagar,200,5
54,Lakshay,Gupta,9.18089E+11,6,Gandhinagar,600,4
55,Lakshman,Singh,9.162E+11,10,Gandhinagar,600,5
56,Lalit,Kumar,9.18422E+11,12,Gandhinagar,600,4.5
57,Mahesh,Yadav,9.17756E+11,8,Mehsana,500,3.5
58,Manav,Sharma,9.18867E+11,11,Ahmedabad,700,4.5
59,Manav,Verma,9.16089E+11,10,Gandhinagar,500,4.5
60,Manish,Chauhan,9.182E+11,11,Mehsana,300,4
61,Manthan,Kumar,9.16422E+11,5,Gandhinagar,400,4
62,Mayank,Sharma,9.18645E+11,15,Gandhinagar,500,5
63,Mohan,Patel,9.17322E+11,14,Ahmedabad,300,4
64,Nakul,Verma,9.18433E+11,15,Mehsana,500,3
65,Navin,Kumar,9.19545E+11,11,Mehsana,600,3.5
66,Navneet,Patel,9.16656E+11,9,Mehsana,700,3
67,Nikhil,Yadav,9.17767E+11,9,Mehsana,300,3.5
68,Nitin,Gupta,9.18878E+11,11,Gandhinagar,200,3.5
69,Parth,Chauhan,9.19989E+11,9,Mehsana,200,3
70,Prakash,Sharma,9.16099E+11,10,Ahmedabad,700,5
71,Pranav,Verma,9.171E+11,5,Mehsana,200,3.5
72,Prashant,Kumar,9.18211E+11,10,Ahmedabad,300,4
73,Prateek,Patel,9.19322E+11,12,Gandhinagar,500,5
74,Pratham,Chauhan,9.16433E+11,9,Ahmedabad,200,5
75,Rahul,Chauhan,9.17545E+11,8,Gandhinagar,500,3.5
76,Rajat,Verma,9.18656E+11,6,Gandhinagar,200,3
77,Rajesh,Patel,9.19767E+11,6,Gandhinagar,700,3.5
78,Rajiv,Verma,9.16878E+11,12,Ahmedabad,700,4
79,Ravi,Kumar,9.17989E+11,15,Gandhinagar,700,3
80,Rohan,Kumar,9.18099E+11,15,Ahmedabad,200,3.5
81,Rohit,Chauhan,9.191E+11,11,Mehsana,600,3.5
82,Rohit,Yadav,9.16211E+11,7,Gandhinagar,400,3.5
83,Sachin,Gupta,9.17322E+11,8,Mehsana,200,3.5
84,Sagar,Sharma,9.18433E+11,15,Ahmedabad,200,3.5
85,Sameer,Verma,9.19545E+11,7,Mehsana,200,4.5
86,Sarthak,Chauhan,9.16656E+11,14,Ahmedabad,300,3
87,Sarthak,Gupta,9.17767E+11,14,Mehsana,600,3.5
88,Shantanu,Patel,9.18878E+11,11,Gandhinagar,600,4.5
89,Shivam,Kumar,9.19989E+11,7,Ahmedabad,600,4
90,Shravan,Gupta,9.16099E+11,9,Gandhinagar,400,5
91,Shreyas,Sharma,9.171E+11,8,Mehsana,700,3
92,Siddhant,Sharma,9.18211E+11,9,Mehsana,600,3.5
93,Siddharth,Gupta,9.19322E+11,14,Mehsana,400,4
94,Siddharth,Sharma,9.16433E+11,15,Ahmedabad,600,4.5
95,Soham,Verma,9.17545E+11,14,Mehsana,500,4.5
96,Sourabh,Chauhan,9.18656E+11,14,Ahmedabad,600,4.5
97,Subhash,Patel,9.19767E+11,13,Gandhinagar,600,3
98,Suraj,Kumar,9.16878E+11,15,Mehsana,600,4.5
99,Suresh,Gupta,9.17989E+11,9,Gandhinagar,600,5
100,Surya,Gupta,9.18099E+11,5,Gandhinagar,400,5
101,Tanmay,Verma,9.191E+11,8,Gandhinagar,700,4
102,Tarun,Sharma,9.16211E+11,10,Mehsana,300,4
103,Tejas,Kumar,9.17322E+11,5,Gandhinagar,400,4
104,Tushar,Chauhan,9.18433E+11,10,Gandhinagar,700,3
105,Uday,Verma,9.19545E+11,9,Gandhinagar,300,4
106,Umang,Patel,9.16656E+11,8,Ahmedabad,200,4
107,Utkarsh,Patel,9.17767E+11,8,Gandhinagar,400,5
108,Vaibhav,Chauhan,9.18878E+11,13,Mehsana,700,3
109,Varun,Patel,9.19989E+11,9,Ahmedabad,400,5
110,Vedant,Kumar,9.16099E+11,7,Mehsana,300,3
111,Vihaan,Gupta,9.171E+11,8,Mehsana,500,3.5
112,Vijay,Kumar,9.18211E+11,6,Mehsana,600,3.5
113,Vikram,Verma,9.19322E+11,6,Gandhinagar,700,3
114,Vikrant,Patel,9.17456E+11,14,Mehsana,500,5
115,Vineet,Chauhan,9.18567E+11,7,Ahmedabad,400,3
116,Vishal,Gupta,9.19678E+11,6,Ahmedabad,400,3
117,Vivaan,Sharma,9.16789E+11,5,Mehsana,200,4.5
118,Yash,Sharma,9.17899E+11,14,Gandhinagar,300,4
119,Yuvraj,Verma,9.189E+11,12,Ahmedabad,300,5
120,Zeeshan,Chauhan,9.19013E+11,5,Ahmedabad,600,3.5
